Stage_id,Name,Description,MaxCapacity
1,Mystic Stage,Stage for mystic ambient music,120
2,Electric Dreams,Electronic beats under the stars,150
3,Rock Haven,Home for rock enthusiasts,200
4,Jazz Junction,Smooth jazz and blues,100
5,Pop Paradise,Top 40 hits live,120
6,Hip Hop Hub,Urban beats and rhymes,180
7,Country Corner,Country music and line dancing,140
8,Indie Island,Discover new indie bands,190
9,Classical Court,Orchestral and classical performances,170
10,Reggae Reef,Laid back reggae vibes,110
11,Metal Mountain,Heavy metal and hard rock,160
12,Folk Forest,Acoustic and folk music,180
13,Punk Pier,Punk rock and ska,130
14,R&B River,Soulful R&B performances,140
15,Techno Tower,High energy techno beats,170
16,World Wave,Global music showcase,180
17,Disco Dome,70s disco and funk,120
18,Acoustic Alley,Intimate acoustic sets,160
19,Soul Station,Deep soul and gospel,100
20,EDM Express,Electronic dance music,120
21,Blues Boulevard,Blues legends and newcomers,130
22,Gospel Garden,Uplifting gospel music,110
23,Latin Lounge,Vibrant Latin rhythms,100
24,Alternative Avenue,Alternative rock and pop,140
25,Dancehall District,Dancehall and afrobeats,130
26,Symphony Square,Classical symphonies outdoors,120
27,Chill Zone,Downtempo and lounge,150
28,Bass Base,Heavy bass and dubstep,110
29,Retro Road,Hits from the past decades,150
30,Experimental Edge,Avant-garde and experimental sounds,160
31,K-Pop Kingdom,Korean pop and dance,180
32,Jungle Jam,Drum and bass jungle,160
33,Opera Oasis,Opera and vocal performances,170
34,Funk Factory,Funk and groove,120
35,Celtic Corner,Celtic folk and dance,180
36,Ska Street,Ska and two-tone,110
37,Ambient Alley,Soothing ambient soundscapes,140
38,House Hub,House music all night,120
39,Trap Town,Trap and hip hop beats,130
40,Vinyl Valley,DJs spinning vinyl only,100
