Stage_id,Name,Description,MaxCapacity
1,Mystic Stage,Stage for mystic ambient music,1000
2,Electric Dreams,Electronic beats under the stars,1500
3,Rock Haven,Home for rock enthusiasts,2000
4,Jazz Junction,Smooth jazz and blues,800
5,Pop Paradise,Top 40 hits live,2500
6,Hip Hop Hub,Urban beats and rhymes,1800
7,Country Corner,Country music and line dancing,1200
8,Indie Island,Discover new indie bands,900
9,Classical Court,Orchestral and classical performances,700
10,Reggae Reef,Laid back reggae vibes,1100
11,Metal Mountain,Heavy metal and hard rock,1600
12,Folk Forest,Acoustic and folk music,950
13,Punk Pier,Punk rock and ska,1300
14,R&B River,Soulful R&B performances,1400
15,Techno Tower,High energy techno beats,1700
16,World Wave,Global music showcase,850
17,Disco Dome,70s disco and funk,1200
18,Acoustic Alley,Intimate acoustic sets,600
19,Soul Station,Deep soul and gospel,1000
20,EDM Express,Electronic dance music,2200
21,Blues Boulevard,Blues legends and newcomers,750
22,Gospel Garden,Uplifting gospel music,900
23,Latin Lounge,Vibrant Latin rhythms,1100
24,Alternative Avenue,Alternative rock and pop,1400
25,Dancehall District,Dancehall and afrobeats,1300
26,Symphony Square,Classical symphonies outdoors,800
27,Chill Zone,Downtempo and lounge,500
28,Bass Base,Heavy bass and dubstep,1900
29,Retro Road,Hits from the past decades,1500
30,Experimental Edge,Avant-garde and experimental sounds,650
31,K-Pop Kingdom,Korean pop and dance,2000
32,Jungle Jam,Drum and bass jungle,1600
33,Opera Oasis,Opera and vocal performances,700
34,Funk Factory,Funk and groove,1200
35,Celtic Corner,Celtic folk and dance,850
36,Ska Street,Ska and two-tone,1100
37,Ambient Alley,Soothing ambient soundscapes,500
38,House Hub,House music all night,1800
39,Trap Town,Trap and hip hop beats,1700
40,Vinyl Valley,DJs spinning vinyl only,1000
